year,county,cc,mc,month,municipality,date,persons_killed,driver,passenger,cyclist,pedestrian
2015,Essex,7,14.0,7,NEWARK CITY,07/28/2015,.5 1 PEDESTRIAN,0,0,0,1
2015,Hudson,9,10.0,7,UNION CITY,07/28/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Atlantic,1,8.0,7,EGG HARBOR TWSP,07/29/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Cape May,5,4.0,7,DENNIS TWSP,07/30/2015,.7 1 DRIVER,1,0,0,0
2015,Salem,17,2.0,7,CARNEYS POINT TWSP,07/30/2015,.8 1 PASSENGER,0,1,0,0
2015,Passaic,16,2.0,7,CLIFTON CITY,07/31/2015,.1 2 PASSENGERS,0,2,0,0
2015,Somerset,18,10.0,8,HILLSBOROUGH TWSP,08/01/2015,.5 1 DRIVER,1,0,0,0
2015,Burlington,3,33.0,8,SOUTHAMPTON TWSP,08/02/2015,.0 1 PASSENGER,0,1,0,0
2015,Camden,4,35.0,8,WATERFORD TWSP,08/02/2015,.3 1 DRIVER,1,0,0,0
2015,Ocean,15,25.0,8,POINT PLEASANT BORO,08/04/2015,.1 1 DRIVER,1,0,0,0
2015,Union,20,9.0,8,LINDEN CITY,08/04/2015,.2 1 DRIVER,1,0,0,0
2015,Ocean,15,8.0,8,TOMS RIVER,08/05/2015,.2 1 DRIVER,1,0,0,0
2015,Atlantic,1,11.0,8,GALLOWAY TWSP,08/06/2015,.6 1 DRIVER,1,0,0,0
2015,Passaic,16,14.0,8,WAYNE TWSP,08/06/2015,.2 1 DRIVER,1,0,0,0
2015,Gloucester,8,11.0,8,MONROE TWSP,08/07/2015,.6 1 PASSENGER,0,1,0,0
2015,Middlesex,12,18.0,8,PLAINSBORO TWSP,08/07/2015,.0 1 DRIVER,1,0,0,0
2015,Gloucester,8,10.0,8,MANTUA TWSP,08/09/2015,.5 1 DRIVER,1,0,0,0
2015,Mercer,11,6.0,8,HOPEWELL TWSP,08/09/2015,.5 1 DRIVER,1,0,0,0
